year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,0,133,0,0
2020,3,12,0,7,0,0
2020,3,13,0,10,0,0
2020,3,14,1,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,23,0,0
2020,3,17,0,6,0,0
2020,3,18,0,21,0,0
2020,3,19,0,13,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,0,0
2020,3,23,0,33,0,0
2020,3,24,0,7,0,0
2020,3,25,1,13,0,0
2020,3,26,0,13,0,0
2020,3,27,0,13,0,0
2020,3,28,0,0,0,0
2020,3,29,0,0,0,0
2020,3,30,0,39,0,0
2020,3,31,0,20,1,0
2020,4,1,3,0,0,0
2020,4,2,0,78,0,0
2020,4,3,2,76,1,0
2020,4,4,1,0,0,0
2020,4,5,1,0,0,0
2020,4,6,0,160,0,0
2020,4,7,0,44,0,0
2020,4,8,3,104,0,0
2020,4,9,2,67,0,0
2020,4,10,0,53,0,0
2020,4,11,0,0,0,0
2020,4,12,0,0,0,0
2020,4,13,0,173,0,0
2020,4,14,0,36,0,0
2020,4,15,1,79,0,0
2020,4,16,1,37,0,0
2020,4,17,0,67,0,0
2020,4,18,0,0,0,0
2020,4,19,0,0,0,0
2020,4,20,0,136,2,0
2020,4,21,0,90,0,0
2020,4,22,0,61,1,0
2020,4,23,0,64,0,1
2020,4,24,0,52,1,0
2020,4,25,0,0,0,0
2020,4,26,0,0,0,0
2020,4,27,0,123,2,0
2020,4,28,0,60,1,0
2020,4,29,1,0,0,0
2020,4,30,0,97,0,0
2020,5,1,0,42,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,1,0
2020,5,4,0,0,0,0
2020,5,5,0,0,0,0
2020,5,6,0,0,0,0
2020,5,7,0,165,0,0
2020,5,8,0,105,4,0
2020,5,9,0,0,0,0
2020,5,10,0,25,0,0
2020,5,11,0,16,0,0
2020,5,12,0,44,0,0
2020,5,13,0,25,1,0
2020,5,14,0,47,0,0
2020,5,15,0,23,0,0
2020,5,16,0,35,0,0
2020,5,17,0,17,0,0
2020,5,18,0,4,1,0
2020,5,19,0,21,0,0
2020,5,20,0,10,0,0
2020,5,21,0,38,0,0
2020,5,22,0,20,0,0
2020,5,23,0,10,0,0
2020,5,24,0,0,0,0
2020,5,25,0,20,0,0
2020,5,26,0,9,0,0
2020,5,27,0,15,0,0
2020,5,28,0,16,0,0
2020,5,29,0,21,0,0
2020,5,30,0,18,0,0
2020,5,31,0,0,0,0
2020,6,1,0,16,0,0
2020,6,2,0,28,0,0
2020,6,3,0,16,0,0
2020,6,4,0,30,0,0
2020,6,5,0,39,0,0
2020,6,6,0,0,0,0
2020,6,7,0,37,0,0
2020,6,8,0,5,0,0
2020,6,9,0,31,0,0
2020,6,10,0,16,0,0
2020,6,11,0,21,0,0
2020,6,12,0,13,0,0
2020,6,13,0,13,0,0
2020,6,14,0,0,0,0
2020,6,15,0,15,0,0
2020,6,16,0,10,0,0
2020,6,17,0,8,0,0
2020,6,18,0,22,0,0
2020,6,19,0,19,0,0
2020,6,20,0,11,0,0
2020,6,21,0,6,0,0
2020,6,22,0,0,0,0
2020,6,23,0,26,0,0
2020,6,24,0,16,0,0
2020,6,25,0,13,0,0
2020,6,26,0,12,0,0
2020,6,27,0,0,0,0
2020,6,28,0,21,0,0
2020,6,29,0,1,0,0
2020,6,30,0,37,0,0
2020,7,1,0,29,0,0
2020,7,2,0,29,0,0
2020,7,3,0,30,0,0
2020,7,4,0,19,0,0
2020,7,5,0,23,0,0
2020,7,6,1,1,0,0
2020,7,7,0,122,0,0
2020,7,8,0,55,0,0
2020,7,9,1,101,0,0
2020,7,10,0,80,0,0
2020,7,11,0,81,0,0
2020,7,12,0,72,0,0
2020,7,13,7,193,0,0
2020,7,14,4,80,0,0
2020,7,15,1,126,0,0
2020,7,16,1,147,0,0
2020,7,17,0,95,0,0
2020,7,18,0,173,0,0
2020,7,19,8,61,0,0
2020,7,20,0,36,0,0
