year,month,day,pcr_positive,pcr_tests,discharged,deaths
2020,3,11,2,155,0,0
2020,3,12,5,26,0,0
2020,3,13,0,17,0,0
2020,3,14,1,0,0,0
2020,3,15,0,0,0,0
2020,3,16,0,59,0,0
2020,3,17,0,20,0,0
2020,3,18,0,0,1,0
2020,3,19,1,41,0,0
2020,3,20,0,0,0,0
2020,3,21,0,0,0,0
2020,3,22,0,0,1,0
2020,3,23,0,26,0,0
2020,3,24,0,24,0,0
2020,3,25,0,12,0,0
2020,3,26,0,7,0,0
2020,3,27,0,21,0,0
2020,3,28,0,0,0,0
2020,3,29,0,0,0,0
2020,3,30,2,29,0,0
2020,3,31,0,21,0,0
2020,4,1,0,0,0,0
2020,4,2,1,49,0,0
2020,4,3,0,91,2,0
2020,4,4,0,0,0,0
2020,4,5,1,0,0,0
2020,4,6,0,161,0,0
2020,4,7,0,22,0,0
2020,4,8,0,43,1,0
2020,4,9,2,37,0,0
2020,4,10,0,45,0,0
2020,4,11,2,0,0,0
2020,4,12,0,0,4,0
2020,4,13,0,89,2,0
2020,4,14,2,7,0,0
2020,4,15,1,37,0,0
2020,4,16,6,53,0,1
2020,4,17,6,52,0,0
2020,4,18,3,0,0,0
2020,4,19,1,0,0,0
2020,4,20,3,253,0,0
2020,4,21,2,39,0,0
2020,4,22,2,58,0,0
2020,4,23,0,84,0,0
2020,4,24,2,75,0,0
2020,4,25,0,0,5,0
2020,4,26,0,0,0,0
2020,4,27,0,146,0,0
2020,4,28,0,36,0,0
2020,4,29,0,0,3,0
2020,4,30,0,68,0,0
2020,5,1,0,35,0,0
2020,5,2,0,0,0,0
2020,5,3,0,0,0,0
2020,5,4,0,0,0,0
2020,5,5,0,0,1,0
2020,5,6,0,0,9,0
2020,5,7,0,146,0,0
2020,5,8,0,9,1,0
2020,5,9,0,39,2,0
2020,5,10,0,21,1,0
2020,5,11,0,0,1,0
2020,5,12,0,0,0,0
2020,5,13,0,10,0,0
2020,5,14,0,56,2,0
2020,5,15,0,45,1,0
2020,5,16,0,71,0,0
2020,5,17,0,12,1,0
2020,5,18,0,13,1,0
2020,5,19,0,2,0,0
2020,5,20,0,5,0,0
2020,5,21,0,39,0,0
2020,5,22,0,16,0,0
2020,5,23,0,28,0,0
2020,5,24,0,6,1,0
2020,5,25,0,4,0,0
2020,5,26,0,2,1,0
2020,5,27,0,4,0,0
2020,5,28,0,14,0,0
2020,5,29,0,6,0,0
2020,5,30,0,9,0,0
2020,5,31,0,10,3,0
2020,6,1,0,3,0,0
2020,6,2,0,0,0,0
2020,6,3,0,19,0,0
2020,6,4,0,25,0,0
2020,6,5,0,9,0,0
2020,6,6,0,0,0,0
2020,6,7,0,0,0,0
2020,6,8,0,18,0,0
2020,6,9,0,8,0,0
2020,6,10,0,12,0,0
2020,6,11,0,10,0,0
2020,6,12,0,11,0,0
2020,6,13,0,12,0,0
2020,6,14,0,0,0,0
2020,6,15,0,13,0,0
2020,6,16,0,23,0,0
2020,6,17,0,7,0,0
2020,6,18,0,12,0,0
2020,6,19,1,3,0,0
2020,6,20,0,15,0,0
2020,6,21,0,72,0,0
2020,6,22,0,2,0,0
2020,6,23,0,12,0,0
2020,6,24,0,7,0,0
2020,6,25,0,18,0,0
2020,6,26,0,7,0,0
2020,6,27,0,24,0,0
2020,6,28,0,7,0,0
2020,6,29,0,2,0,0
2020,6,30,0,20,1,0
2020,7,1,0,5,0,0
2020,7,2,0,20,0,0
2020,7,3,0,19,0,0
2020,7,4,0,25,0,0
2020,7,5,0,6,0,0
2020,7,6,0,4,0,0
2020,7,7,0,25,0,0
2020,7,8,0,13,0,0
2020,7,9,0,16,0,0
2020,7,10,0,12,0,0
2020,7,11,1,30,0,0
2020,7,12,1,24,0,0
2020,7,13,2,9,0,0
2020,7,14,0,23,0,0
2020,7,15,0,16,0,0
2020,7,16,2,75,1,0
2020,7,17,3,29,0,0
2020,7,18,0,9,0,0
2020,7,19,1,63,0,0
2020,7,20,1,8,0,0
